MOF,MOFid,CO2_capacity_001,CO2_capacity_005,CO2_capacity_01,CO2_capacity_05,CO2_capacity_25,node,linkers
hMOF-7000257,N#CC1Cc2c1c(cc(c2C(=O)[O-])C#N)C(=O)[O-].N#C[C]1C=CC=C(C1[N][C]C1C(C(=[N])[N][C]c2cc(C#N)ccc2C(=O)[O-])c2c1c(ccc2C(=O)[O-])C(=O)[O-])C(=O)[O-].[O-]C(=O)C#CC#CC#CC(=O)[O-].[O-]C(=O)c1ccc(c2c1CC2)C(=O)[O-].[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43 MOFid-v1.pcu,0.152603,0.438069,0.82708,2.4163,4.68414,[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43,"['N#CC1Cc2c1c(cc(c2C(=O)[O-])C#N)C(=O)[O-]', 'N#C[C]1C=CC=C(C1[N][C]C1C(C(=[N])[N][C]c2cc(C#N)ccc2C(=O)[O-])c2c1c(ccc2C(=O)[O-])C(=O)[O-])C(=O)[O-]', '[O-]C(=O)C#CC#CC#CC(=O)[O-]', '[O-]C(=O)c1ccc(c2c1CC2)C(=O)[O-]']"
hMOF-1003832,[O-]C(=O)C=C(C(=C(C(=O)[O-])F)F)F.[O-]C(=O)C=C(C=C(C(=O)[O-])F)F.[O-]C(=O)C=CC(=C(C(=O)[O-])F)F.[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43 MOFid-v1.fcu.cat0,0.0773565,0.474604,0.826385,4.14091,6.93182,[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43,"['[O-]C(=O)C=C(C(=C(C(=O)[O-])F)F)F', '[O-]C(=O)C=C(C=C(C(=O)[O-])F)F', '[O-]C(=O)C=CC(=C(C(=O)[O-])F)F']"
hMOF-1003441,COc1c(C#Cc2c(OC)c(OC)c(c(c2OC)OC)C(=O)[O-])c([O])c(c(c1OC)C(=O)[O-])OC.COc1cc(C(=O)[O-])c(c(c1C(=O)[O-])OC)OC.COc1cc(ccc1C(=O)[O-])C(=O)[O-].[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43 MOFid-v1.hex.cat0,0.179388,0.452145,0.825672,2.18842,3.58483,[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43,"['COc1c(C#Cc2c(OC)c(OC)c(c(c2OC)OC)C(=O)[O-])c([O])c(c(c1OC)C(=O)[O-])OC', 'COc1cc(C(=O)[O-])c(c(c1C(=O)[O-])OC)OC', 'COc1cc(ccc1C(=O)[O-])C(=O)[O-]']"
hMOF-1003641,N#Cc1cc(ccc1c1ccc(c(c1)C#N)C(=O)[O-])C(=O)[O-].[N]=Cc1cc2-c3cc(C(=O)[O-])c(cc3C(=O)[O-])C34C=C([C]C5([N]64C3C56)c3cc(C#N)c(c(c3C(=O)[O-])C#N)C#N)C34[N]5(C3(O5)[O])C34[C](C=C(C4=C[CH]C5(C6(c(c1)c2)[N]15C6(O1)[O])C(=C4)C#N)C(=C3C#N)C#N)C#N.[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43 MOFid-v1.sql.cat0,0.110871,0.462363,0.825338,2.1534,4.32425,[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43,"['N#Cc1cc(ccc1c1ccc(c(c1)C#N)C(=O)[O-])C(=O)[O-]', '[N]=Cc1cc2-c3cc(C(=O)[O-])c(cc3C(=O)[O-])C34C=C([C]C5([N]64C3C56)c3cc(C#N)c(c(c3C(=O)[O-])C#N)C#N)C34[N]5(C3(O5)[O])C34[C](C=C(C4=C[CH]C5(C6(c(c1)c2)[N]15C6(O1)[O])C(=C4)C#N)C(=C3C#N)C#N)C#N']"
hMOF-1003895,[O-]C(=O)C1=C[C]=C(C=C1O)C#Cc1ccc(c(c1O)O)C(=O)[O-].[O-]C(=O)C=C(C=C(C(=O)[O-])O)O.[O-]C(=O)C=CC(=C(C(=O)[O-])O)O.[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43 MOFid-v1.pcu.cat0,0.121333,0.480057,0.825076,2.14196,4.70132,[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43,"['[O-]C(=O)C1=C[C]=C(C=C1O)C#Cc1ccc(c(c1O)O)C(=O)[O-]', '[O-]C(=O)C=C(C=C(C(=O)[O-])O)O', '[O-]C(=O)C=CC(=C(C(=O)[O-])O)O']"
hMOF-1004365,N#Cc1cc(ccc1C(=O)[O-])C(=O)[O-].N#Cc1cc2cc(cc3c2c2c1cc(cc2cc3)C(=O)[O-])C(=O)[O-].[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43 MOFid-v1.hex.cat0,0.0942823,0.41781,0.82473,2.81933,5.00441,[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43,"['N#Cc1cc(ccc1C(=O)[O-])C(=O)[O-]', 'N#Cc1cc2cc(cc3c2c2c1cc(cc2cc3)C(=O)[O-])C(=O)[O-]']"
hMOF-1003463,[O-]C(=O)C1=C(C[C](C[CH]1)c1c(cc(c(c1C1=[C]C=CC=C1)c1ccccc1)c1ccc(c(c1c1ccccc1)c1ccccc1)C(=O)[O-])C1=[C]C=CC=C1)c1ccccc1.[O-]C(=O)C1=CCC(=C([CH]1)C1=CC(C=C[C]1)C1C=CC=C([CH]1)c1cc(cc(c1)c1ccccc1)C(=O)[O-])C1=C(C=C([CH]C1)c1ccc(cc1)C(=O)[O-])C1=[C]C=CC=C1.[O-]C(=O)c1ccc(cc1c1ccccc1)C#Cc1c(cc(c(c1c1ccccc1)c1ccccc1)C(=O)[O-])c1ccccc1.[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43 MOFid-v1.pcu,0.123011,0.553846,0.8229,2.36198,6.3748,[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43,"['[O-]C(=O)C1=C(C[C](C[CH]1)c1c(cc(c(c1C1=[C]C=CC=C1)c1ccccc1)c1ccc(c(c1c1ccccc1)c1ccccc1)C(=O)[O-])C1=[C]C=CC=C1)c1ccccc1', '[O-]C(=O)C1=CCC(=C([CH]1)C1=CC(C=C[C]1)C1C=CC=C([CH]1)c1cc(cc(c1)c1ccccc1)C(=O)[O-])C1=C(C=C([CH]C1)c1ccc(cc1)C(=O)[O-])C1=[C]C=CC=C1', '[O-]C(=O)c1ccc(cc1c1ccccc1)C#Cc1c(cc(c(c1c1ccccc1)c1ccccc1)C(=O)[O-])c1ccccc1']"
hMOF-1003189,CCCOC1=[C]C(=CC(=C1OCCC)C(=O)[O-])OC[CH2].[O-][C]=O.CCCOc1c(OCCC)c(cc(c1C(=O)[O-])[O])C(=O)[O-].CCCOc1c(cc(c(c1OCCC)C(=O)[O-])OCCC)C(=O)[O-].COc1cc(ccc1C(=O)[O-])C(=O)[O-].[CH]Oc1cc(ccc1C(=O)[O-])C(=O)[O-].[O-]C(=O)c1ccc(cc1OCCC)C(=O)[O-].[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43 MOFid-v1.fcu,0.281982,0.63662,0.822875,1.07611,1.45053,[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43,"['CCCOC1=[C]C(=CC(=C1OCCC)C(=O)[O-])OC[CH2]', '[O-][C]=O', 'CCCOc1c(OCCC)c(cc(c1C(=O)[O-])[O])C(=O)[O-]', 'CCCOc1c(cc(c(c1OCCC)C(=O)[O-])OCCC)C(=O)[O-]', 'COc1cc(ccc1C(=O)[O-])C(=O)[O-]', '[CH]Oc1cc(ccc1C(=O)[O-])C(=O)[O-]', '[O-]C(=O)c1ccc(cc1OCCC)C(=O)[O-]']"
hMOF-1003594,[O-]C(=O)C#CC(=O)[O-].[O-]C(=O)C1=C(Br)[CH]C([C]=C1)(Br)N=Nc1ccc(c(c1)Br)C(=O)[O-].[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43 MOFid-v1.hex.cat0,0.146649,0.5067,0.822009,1.60593,2.48036,[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43,"['[O-]C(=O)C#CC(=O)[O-]', '[O-]C(=O)C1=C(Br)[CH]C([C]=C1)(Br)N=Nc1ccc(c(c1)Br)C(=O)[O-]']"
hMOF-7000151,N=NC(=C(C(=O)[O-])N=N)C=CC(=O)[O-].N=Nc1cc(ccc1N=N)C(=O)[O-].N=NC(=CC(=O)[O-])C(=CC(=O)[O-])N=N.N=Nc1cc(C(=O)[O-])c2c(c1)[N]13C([NH]1N[N]2)C3C(=C(C(=[CH])N=N)C(=O)[O-])N=N.[O-]C(=O)C#CC#CC(=O)[O-].[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43 MOFid-v1.bct.cat0;7000151,0.100468,0.427507,0.821952,2.77368,4.90826,[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43,"['N=NC(=C(C(=O)[O-])N=N)C=CC(=O)[O-]', 'N=Nc1cc(ccc1N=N)C(=O)[O-]', 'N=NC(=CC(=O)[O-])C(=CC(=O)[O-])N=N', 'N=Nc1cc(C(=O)[O-])c2c(c1)[N]13C([NH]1N[N]2)C3C(=C(C(=[CH])N=N)C(=O)[O-])N=N', '[O-]C(=O)C#CC#CC(=O)[O-]']"
hMOF-7001205,NC(=CC(=O)[O-])C(=CC(=O)[O-])N.[O-]C(=O)C12C3C4C2(C2(C1(C3C42C(=O)[O-])N)N)N.[O-]C(=O)C1=CC(=C([NH2][NH2]1)C(=O)[O-])N.[O-]C(=O)C=CC(=C(C(=O)[O-])N)N.[O-]C(=O)C=CC(=CC(=O)[O-])N.[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43 MOFid-v1.fcu.cat0;7001205,0.0589843,0.326436,0.820953,2.4503,4.64343,[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43,"['NC(=CC(=O)[O-])C(=CC(=O)[O-])N', '[O-]C(=O)C12C3C4C2(C2(C1(C3C42C(=O)[O-])N)N)N', '[O-]C(=O)C1=CC(=C([NH2][NH2]1)C(=O)[O-])N', '[O-]C(=O)C=CC(=C(C(=O)[O-])N)N', '[O-]C(=O)C=CC(=CC(=O)[O-])N']"
hMOF-1003835,ClC(=CC(=O)[O-])C(=CC(=O)[O-])Cl.[O-]C(=O)C=C(C=C(C(=O)[O-])Cl)Cl.[O-]C(=O)C=CC=CC(=O)[O-].[O-]C(=O)C=CC=[C]C(=O)[O-].[O-]C(=O)[C]=CC(=CC(=O)[O-])Cl.[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43 MOFid-v1.fcu.cat0,0.06552,0.34937,0.819803,2.9191,5.60653,[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43,"['ClC(=CC(=O)[O-])C(=CC(=O)[O-])Cl', '[O-]C(=O)C=C(C=C(C(=O)[O-])Cl)Cl', '[O-]C(=O)C=CC=CC(=O)[O-]', '[O-]C(=O)C=CC=[C]C(=O)[O-]', '[O-]C(=O)[C]=CC(=CC(=O)[O-])Cl']"
hMOF-7000615,ClC(=C(C#CC(=O)[O-])Cl)C#CC(=O)[O-].[O-]C(=O)C1=C2C(=[C]c3c(C2=[C]C=C1)cc(c(c3)Cl)C(=O)[O-])Cl.[O-]C(=O)c1cc(Cl)c2c(c1)c1cccc(c1cc2)C(=O)[O-].[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43 MOFid-v1.pcu.cat0;7000615,0.117558,0.485007,0.819135,2.69737,6.20812,[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43,"['ClC(=C(C#CC(=O)[O-])Cl)C#CC(=O)[O-]', '[O-]C(=O)C1=C2C(=[C]c3c(C2=[C]C=C1)cc(c(c3)Cl)C(=O)[O-])Cl', '[O-]C(=O)c1cc(Cl)c2c(c1)c1cccc(c1cc2)C(=O)[O-]']"
hMOF-1004014,BrOC(=O)c1c(Br)c(Br)c(c2c1[C]=CC=[C]2)C(=O)OBr.[O-]C(=O)C1=CC(=C([C]=C1)C(=O)[O-])Br.[O-]C(=O)C1=CC=C([C]=C1)C(=O)[O-].[O-]C(=O)C1=[C]C=C(C(=[C]1)Br)C(=O)[O-].[O-]C(=O)c1ccc(cc1)C(=O)[O-].[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43 MOFid-v1.fcu.cat0,0.0945875,0.444626,0.818975,2.05892,3.11018,[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43,"['BrOC(=O)c1c(Br)c(Br)c(c2c1[C]=CC=[C]2)C(=O)OBr', '[O-]C(=O)C1=CC(=C([C]=C1)C(=O)[O-])Br', '[O-]C(=O)C1=CC=C([C]=C1)C(=O)[O-]', '[O-]C(=O)C1=[C]C=C(C(=[C]1)Br)C(=O)[O-]', '[O-]C(=O)c1ccc(cc1)C(=O)[O-]']"
hMOF-7001387,CCC12C3C4C1(C#CC(=O)[O-])C1(C2(C3(C41CC)C#CC(=O)[O-])CC)CC.CCC1=CC(=[C]C=C1C(=O)[O-])c1ccc(cc1CC)c1ccc(cc1CC)C(=O)[O-].CCc1cc(cc(c1c1ccc(cc1)C(=O)[O-])CC)c1cc(CC)c(c(c1CC)CC)C(=O)[O-].[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43 MOFid-v1.pcu.cat0;7001387,0.096607,0.453094,0.818811,2.51118,7.81284,[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43,"['CCC12C3C4C1(C#CC(=O)[O-])C1(C2(C3(C41CC)C#CC(=O)[O-])CC)CC', 'CCC1=CC(=[C]C=C1C(=O)[O-])c1ccc(cc1CC)c1ccc(cc1CC)C(=O)[O-]', 'CCc1cc(cc(c1c1ccc(cc1)C(=O)[O-])CC)c1cc(CC)c(c(c1CC)CC)C(=O)[O-]']"
hMOF-7001656,Clc1cc(cc(c1C=Cc1ccc(c(c1)Cl)C(=O)[O-])Cl)C(=O)[O-].[O-]C(=O)c1c(Cl)cc(c2c1[CH]C2(Cl)Cl)C(=O)[O-].[O-]C(=O)c1ccc(c(c1)Cl)C=CC1=C[C]=C(C(=C1)Cl)C(=O)[O-].[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43 MOFid-v1.pcu.cat0;7001656,0.075449,0.379659,0.818659,2.98192,7.14377,[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43,"['Clc1cc(cc(c1C=Cc1ccc(c(c1)Cl)C(=O)[O-])Cl)C(=O)[O-]', '[O-]C(=O)c1c(Cl)cc(c2c1[CH]C2(Cl)Cl)C(=O)[O-]', '[O-]C(=O)c1ccc(c(c1)Cl)C=CC1=C[C]=C(C(=C1)Cl)C(=O)[O-]']"
hMOF-7002009,[O-]C(=O)c1cc(c2ccccc2)c(c(c1c1ccccc1)c1ccccc1)c1nnc(nn1)c1ccc(cc1c1ccccc1)C(=O)[O-].[O-]C(=O)c1cc(cc(c1c1ccccc1)C1=CC([CH]C=C1)C1[CH]C=C(C=C1)c1cccc(c1c1ccccc1)C(=O)[O-])C1=CC=CC([CH]1)C1C=C[CH]C(=C1)c1cc(cc(c1)c1ccccc1)C(=O)[O-].[O-]C(=O)c1ccc(c(c1c1ccccc1)c1ccccc1)C#Cc1ccc(cc1c1ccccc1)C(=O)[O-].[O-]C(=O)c1ccc(cc1)C#Cc1ccc(cc1c1ccccc1)C(=O)[O-].[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43 MOFid-v1.hex,0.0953612,0.459267,0.818581,2.31339,6.77786,[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43,"['[O-]C(=O)c1cc(c2ccccc2)c(c(c1c1ccccc1)c1ccccc1)c1nnc(nn1)c1ccc(cc1c1ccccc1)C(=O)[O-]', '[O-]C(=O)c1cc(cc(c1c1ccccc1)C1=CC([CH]C=C1)C1[CH]C=C(C=C1)c1cccc(c1c1ccccc1)C(=O)[O-])C1=CC=CC([CH]1)C1C=C[CH]C(=C1)c1cc(cc(c1)c1ccccc1)C(=O)[O-]', '[O-]C(=O)c1ccc(c(c1c1ccccc1)c1ccccc1)C#Cc1ccc(cc1c1ccccc1)C(=O)[O-]', '[O-]C(=O)c1ccc(cc1)C#Cc1ccc(cc1c1ccccc1)C(=O)[O-]']"
hMOF-7001508,ClOC(=O)c1c(Cl)c(Cl)c(c2c1[C]=CC(=[C]2)Cl)C(=O)OCl.Clc1ccc2c(c1)c(ccc2C(=O)[O-])C(=O)[O-].[O-]C(=O)C#CC12C3C4C1(Cl)C1(C2(C3(C41C#CC(=O)[O-])Cl)Cl)Cl.[O-]C(=O)c1ccc(c2=C(C(=[C]C=c12)Cl)Cl)C(=O)[O-].[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43 MOFid-v1.hex.cat0;7001508,0.118455,0.440294,0.818461,1.92903,2.95297,[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43,"['ClOC(=O)c1c(Cl)c(Cl)c(c2c1[C]=CC(=[C]2)Cl)C(=O)OCl', 'Clc1ccc2c(c1)c(ccc2C(=O)[O-])C(=O)[O-]', '[O-]C(=O)C#CC12C3C4C1(Cl)C1(C2(C3(C41C#CC(=O)[O-])Cl)Cl)Cl', '[O-]C(=O)c1ccc(c2=C(C(=[C]C=c12)Cl)Cl)C(=O)[O-]']"
hMOF-1003482,N#CC1Cc2c1c(C(=O)[O-])c(c(c2C(=O)[O-])C#N)C#N.N#Cc1cc(C#Cc2c(C#N)cc(c(c2C#N)C#N)C(=O)[O-])c(c(c1C(=O)[O-])C#N)C(=[N])[N][C]c1ccc(cc1)C(=O)[O-].[O-]C(=O)c1ccc(c2c1CC2)C(=O)[O-].[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43 MOFid-v1.pcu,0.312449,0.577409,0.81793,1.50385,3.17169,[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43,"['N#CC1Cc2c1c(C(=O)[O-])c(c(c2C(=O)[O-])C#N)C#N', 'N#Cc1cc(C#Cc2c(C#N)cc(c(c2C#N)C#N)C(=O)[O-])c(c(c1C(=O)[O-])C#N)C(=[N])[N][C]c1ccc(cc1)C(=O)[O-]', '[O-]C(=O)c1ccc(c2c1CC2)C(=O)[O-]']"
hMOF-1004180,Nc1c(cc(c(c1N)c1c(N)cc(c(c1N)N)C(=O)[O-])N)c1ccc(c(c1N)N)C(=O)[O-].Nc1cc2c(c(c1N)N)c(C(=O)[O-])c1c(c2C(=O)[O-])c(N)c(c(c1N)N)N.[O-]C(=O)c1ccc(c(c1N)N)c1ccc(cc1)c1cc(N)c(c(c1N)N)C(=O)[O-].[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43 MOFid-v1.pcu.cat0,0.141548,0.567907,0.817806,2.77451,7.01865,[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43,"['Nc1c(cc(c(c1N)c1c(N)cc(c(c1N)N)C(=O)[O-])N)c1ccc(c(c1N)N)C(=O)[O-]', 'Nc1cc2c(c(c1N)N)c(C(=O)[O-])c1c(c2C(=O)[O-])c(N)c(c(c1N)N)N', '[O-]C(=O)c1ccc(c(c1N)N)c1ccc(cc1)c1cc(N)c(c(c1N)N)C(=O)[O-]']"
hMOF-1003713,[O-]C(=O)C1=C[C]=C(C=C1)C(=O)[O-].[O-]C(=O)C1=[C]C(=C(C(=C1Br)Br)C(=O)[O-])Br.[O-]C(=O)C=C(C(=C(C(=O)[O-])Br)Br)Br.[O-]C(=O)c1cc(Br)c(cc1Br)C(=O)[O-].[O-]C(=O)c1ccc(c(c1)Br)C(=O)[O-].[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43 MOFid-v1.fcu.cat0,0.0997014,0.518108,0.817648,2.01828,3.30471,[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43,"['[O-]C(=O)C1=C[C]=C(C=C1)C(=O)[O-]', '[O-]C(=O)C1=[C]C(=C(C(=C1Br)Br)C(=O)[O-])Br', '[O-]C(=O)C=C(C(=C(C(=O)[O-])Br)Br)Br', '[O-]C(=O)c1cc(Br)c(cc1Br)C(=O)[O-]', '[O-]C(=O)c1ccc(c(c1)Br)C(=O)[O-]']"
hMOF-1003283,[O-]C(=O)c1cc(O)c(c(c1O)O)C(=O)[O-].[O-]C(=O)c1cc(O)c(c2c1C(O)[C]2O)C(=O)[O-].[O-]C(=O)c1cc(O)c(cc1O)C(=O)[O-].[O-]C(=O)c1ccc(c(c1)O)C(=O)[O-].[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43 MOFid-v1.fcu.cat0,0.0965092,0.459251,0.817533,2.72815,4.84596,[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43,"['[O-]C(=O)c1cc(O)c(c(c1O)O)C(=O)[O-]', '[O-]C(=O)c1cc(O)c(c2c1C(O)[C]2O)C(=O)[O-]', '[O-]C(=O)c1cc(O)c(cc1O)C(=O)[O-]', '[O-]C(=O)c1ccc(c(c1)O)C(=O)[O-]']"
hMOF-7000394,[O-]C(=O)C#CC#CC#CC(=O)[O-].[O-]C(=O)c1c(N)cc(c2c1c(N)c(N)c(c2N)N)C(=O)[O-].[O-]C(=O)c1cc(N)c(c2c1cccc2)C(=O)[O-].[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43 MOFid-v1.pcu.cat0;7000394,0.0976611,0.541734,0.817284,2.49208,4.16857,[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43,"['[O-]C(=O)C#CC#CC#CC(=O)[O-]', '[O-]C(=O)c1c(N)cc(c2c1c(N)c(N)c(c2N)N)C(=O)[O-]', '[O-]C(=O)c1cc(N)c(c2c1cccc2)C(=O)[O-]']"
hMOF-7000990,[O-]C(=O)C#CC12CC(F)C(C(C1)(F)F)(CC2F)C#CC(=O)[O-].[O-]C(=O)C#CC12CC(F)C(C(C1)F)(C(C2F)F)C#CC(=O)[O-].[O-]C(=O)c1c(F)c(F)c(c2c1c(F)c(F)c(c2F)F)C(=O)[O-].[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43 MOFid-v1.pcu.cat0;7000990,0.109684,0.512978,0.816988,3.02238,6.96648,[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43,"['[O-]C(=O)C#CC12CC(F)C(C(C1)(F)F)(CC2F)C#CC(=O)[O-]', '[O-]C(=O)C#CC12CC(F)C(C(C1)F)(C(C2F)F)C#CC(=O)[O-]', '[O-]C(=O)c1c(F)c(F)c(c2c1c(F)c(F)c(c2F)F)C(=O)[O-]']"
hMOF-1004655,COc1c(C(=O)[O-])c2ccccc2c(c1OC)C(=O)[O-].COc1cc2cc(OC)c3c(c2cc1C(=O)[O-])c(OC)c(c1c3c(O[CH2])c(cc1OC)C(=O)[O-])OC.COc1cc2ccc(c(c2c2c1c1cc(C(=O)[O-])c(cc1cc2)OC)OC)C(=O)[O-].[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43 MOFid-v1.pcu.cat0,0.16167,0.627923,0.816242,1.85633,2.42894,[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43,"['COc1c(C(=O)[O-])c2ccccc2c(c1OC)C(=O)[O-]', 'COc1cc2cc(OC)c3c(c2cc1C(=O)[O-])c(OC)c(c1c3c(O[CH2])c(cc1OC)C(=O)[O-])OC', 'COc1cc2ccc(c(c2c2c1c1cc(C(=O)[O-])c(cc1cc2)OC)OC)C(=O)[O-]']"
